Headline,Publication,Summary,Date
Elon Musk Owes $507 Million To Banks Helping Tesla Raise Capital,"Yerepouni Daily News, 489 words",,5/3/2019
Elon Musk owes US$507 million to banks helping Tesla raise capital,"Channel NewsAsia, BUSINESS, 496 words",,5/3/2019
Family Of Man Killed In Autopilot Crash Suing Tesla For 'Beta-Testing On Live Drivers',"Phil's Stock World, 694 words",,5/3/2019
Tesla looks to raise $3.3bn to recharge dwindling reserves after hefty loss,"The Australian, WSJ; Pg. 31, 596 words",,5/4/2019
Tesla losses keep coming;EV pioneer has lost £545m in the first three months of this year despite strong sales,"AutoCar, NEWS; Pg. 20,21, 808 words",,5/1/2019
Tesla raises goal in capital hunt; Company might not be able to make all of its payment on debt,"The Lethbridge Herald, BUSINESS &; AGRICULTURE; Pg. A8, 775 words",,5/4/2019
"Tesla seeks US$2.3 billion in debt, share issues","EJ Insight, TRANSPORTATION; Transportation, 821 words",,5/3/2019
Tesla sneaks past Canada EV incentive law with cheap 93-mile-range Model 3,"Autoblog, 498 words",,5/1/2019
Tesla sneaks past Canada EV incentive law with cheap 93-mile-range Model 3,"AutoblogGreen, 500 words",,5/1/2019
Tesla sued over fatal 2018 Model X crash with Autopilot engaged,"Engadget HD, 689 words",,5/1/2019
The family of an Apple engineer is suing Tesla over a deadly autopilot crash,"The Business Insider, 812 words",,5/1/2019
Trump Denies Tesla Tariff Exemption For Autopilot ECU,"CleanTechnica, 1113 words",,5/5/2019
"Antonio J. Gracias starts thirteenth year as Tesla Director Wednesday May 01, 2019","News Bites - People in Business, 796 words",,5/2/2019
"Family of Apple engineer sues Tesla, saying Autopilot caused his fatal crash","CNN Wire, 514 words",,5/2/2019
Green light for Tesla to raise $2bn;Elon Musk's fundraiser aims to calm Wall Street,"The Times (London), NEWS; Pg. 37, 484 words",,5/3/2019
Green light for Tesla to raise $2bn;Elon Musk's fundraiser aims to calm Wall Street,"The Times (London), NEWS; Pg. 37, 484 words",,5/3/2019
Green light for Tesla to raise $2bn;Elon Musk's fundraiser aims to calm Wall Street,"thetimes.co.uk, BUSINESS; Version:1, 484 words",,5/2/2019
"Ira Ehrenpreis starts thirteenth year as Tesla Director Wednesday May 01, 2019","News Bites - People in Business, 957 words",,5/2/2019
Musk doubles down on investment as Tesla raises capital,"National Post's Financial Post & FP Investing (Canada), FINANCIAL POST; Pg. NP10, 647 words",,5/4/2019
Musk doubles down on investment as Tesla raises capital,"National Post's Financial Post & FP Investing (Canada), FINANCIAL POST; Pg. E4, 647 words",,5/4/2019
"Tabula Rasa, Tesla, Roku and Netflix as Zacks Bull and Bear of the Day","Zacks Investment Research, 3640 words",,5/3/2019
Tesla 2019 Cash Flow Spreadsheet; Need More Than $2.3 Billion,"ValueWalk, 782 words",,5/2/2019
-Tesla Announces Offerings of Common Stock and Convertible Senior Notes,"ENP Newswire, 731 words",,5/6/2019
Tesla Announces Offerings of Common Stock and Convertible Senior Notes,"GlobeNewswire, FINANCING AGREEMENTS, 745 words",,5/2/2019
Tesla Announces Offerings of Common Stock and Convertible Senior Notes Nasdaq:TSLA,"Global English (Middle East and North Africa Financial Network), 730 words",,5/2/2019
Tesla at 2-Year Low May Plunge More On Musk Credibility Gap,"Investopedia Stock Analysis, 720 words",,5/1/2019
Tesla Autopilot May Have Killed Apple Employee In Fatal Crash,"International Business Times News, 495 words",,5/2/2019
Tesla Fremont Factory Tour Part 3 — Body Shop General Assembly #CleanTechnicaTV,"CleanTechnica, 616 words",,5/7/2019
"Tesla Model 3 on sale in the UK from £38,900","Autocar, NEWS, 525 words",,5/1/2019
Tesla Model 3 UK reviews: how does it drive on Britain's bumpy roads?,"The Week UK, 862 words",,5/1/2019
Tesla Sells Cheaper Model 3 In Canada With Shorter Range,"International Business Times News, 537 words",,5/2/2019
Tesla's Model 3 finally goes on sale in the UK,"Engadget HD, 548 words",,5/1/2019
Tesla sued after fatal Autopilot crash,"The Washington Post, A-SECTION; Pg. A12, 884 words",,5/2/2019
Tesla sued after fatal Autopilot crash,"Washingtonpost.com, A section; Pg. A12, 886 words",,5/2/2019
Tesla sued by family of Apple engineer killed in Autopilot crash,"Washington Post Blogs , 864 words",,5/1/2019
Tesla sued by family of man killed in Autopilot-related crash,"iCrowdNewswire (English), 574 words",,5/2/2019
"Tesla to raise money after painful 1Q, and Musk is buying in","Associated Press International, BUSINESS NEWS, 461 words",,5/2/2019
"Tesla to raise money after painful 1Q, and Musk is buying in","Associated Press State & Local, BUSINESS NEWS, 461 words",,5/2/2019
"Tesla to raise money after painful 1Q, and Musk is buying in","The Associated Press, BUSINESS NEWS, 461 words",,5/2/2019
"Tesla to raise money after painful 1Q, and Musk is buying in","Associated Press Financial Wire, BUSINESS NEWS, 461 words",,5/2/2019
Tesla wants to train and recruit talent,"CE Noticias Financieras English, 495 words",,5/7/2019
U.S. rejects Tesla bid for tariff exemption for Autopilot 'brain',"Trend News Agency - Central Asia (English), WORLD, 958 words",,5/4/2019
US rejects Tesla bid for tariff exemption for Autopilot 'brain',"EJ Insight, TRANSPORTATION; Transportation, 952 words",,5/6/2019
U.S. rejects Tesla bid for tariff exemption for Autopilot 'brain',"Trend News Agency - Central Asia (English), WORLD, 958 words",,5/5/2019
U.S. rejects Tesla bid for tariff exemption for Autopilot 'brain',"Azernews - News from Azerbaijan, Business, Energy, Analysis, WORLD, 964 words",,5/4/2019
US rejects Tesla bid for tariff exemption for Autopilot 'brain',"Channel NewsAsia, BUSINESS, 979 words",,5/3/2019
U.S. rejects Tesla bid for tariff exemption for Autopilot 'brain',"Trend Daily Economic News, WORLD, 958 words",,5/4/2019
U.S. rejects Tesla bid for tariff exemption for Autopilot 'brain',"Trend Daily News (Azerbaijan), WORLD, 958 words",,5/4/2019
U.S. rejects Tesla bid for tariff exemption for Autopilot 'brain',"Trend News Agency - Central Asia (English), WORLD, 958 words",,5/4/2019
"Billionaire hedge funder David Einhorn blasts Tesla again, calling Elon Musk's comments 'a lot of horse s---' (TSLA)","Business Insider US, 488 words",,5/6/2019
Federal judge rules that Elon Musk must get a securities lawyer's approval before tweeting about Tesla - but he WON'T be punished for his prior post the SEC says violated a settlement,"MailOnline, NEWS; Version:1, 533 words",,5/1/2019
"Limping into 2019, Tesla seeks boost from solar and energy storage","SNL Renewable Energy Weekly; Extra, 489 words",,5/3/2019
"Limping into 2019, Tesla seeks boost from solar and energy storage","SNL Canada Energy Week; Extra, 489 words",,5/6/2019
Markel Subsidiary State National to Provide Fronting for Tesla's New Insurance Venture,"Insurance Journal - Wells Media, 483 words",,5/2/2019
Markel Subsidiary State National Will Front Tesla's New Insurance Venture,"Carrier Management, 520 words",,5/2/2019
PARRIS Law: Tesla Trial Begins This Week Over Unsafe Working Conditions,"Plus Company Updates(PCU), 318 words",,5/7/2019
PARRIS Law: Tesla Trial Begins This Week Over Unsafe Working Conditions,"Plus Company Updates(PCU), 318 words",,5/7/2019
PARRIS Law: Tesla Trial Begins This Week Over Unsafe Working Conditions,"Global English (Middle East and North Africa Financial Network), 475 words",,5/6/2019
PARRIS Law: Tesla Trial Begins This Week Over Unsafe Working Conditions,"PR Newswire, 482 words",,5/6/2019
PSA: Tesla Confirms 150km Model 3 in Canada Can't Get Range Upgrade,"iPhone in Canada, 364 words",,5/3/2019
"Surprise! Tesla Model 3 Now Qualifies for $5,000 Federal Rebate in Canada, Starting Today","iPhone in Canada, 471 words",,5/1/2019
"Tesla contorts Model 3 price, range for rebate; but they want you to buy this one; Automaker gets creative with base cost to make vehicle eligible for federal incentives","National Post's Financial Post & FP Investing (Canada), FINANCIAL POST; Pg. FP1 , 444 words",,5/2/2019
"Tesla contorts Model 3 price, range for rebate but they want you to buy this one; Automaker gets creative with base cost to make vehicle eligible for federal incentives","National Post's Financial Post & FP Investing (Canada), FINANCIAL POST; Pg. FP1 , 444 words",,5/2/2019
Tesla gets creative with pricing in bid to qualify for rebates,"Belleville Intelligencer, NEWS; Pg. B5, 423 words",,5/2/2019
Tesla gets creative with pricing in bid to qualify for rebates,"National Post's Financial Post & FP Investing (Canada), FINANCIAL POST; Pg. B7, 423 words",,5/2/2019
Tesla gets creative with pricing in bid to qualify for rebates,"Times-Journal (St.Thomas), NEWS; Pg. A10, 423 words",,5/2/2019
Tesla gets creative with pricing in bid to qualify for rebates,"National Post's Financial Post & FP Investing (Canada), FINANCIAL POST; Pg. C1 , 395 words",,5/2/2019
Tesla gets creative with pricing in bid to qualify for rebates,"Timmins Daily Press, NEWS; Pg. A8, 423 words",,5/2/2019
Tesla gets creative with pricing in bid to qualify for rebates,"Brantford Expositor, BUSINESS; Pg. C9, 423 words",,5/2/2019
Tesla gets creative with pricing in bid to qualify for rebates,"Stratford Beacon-Herald, NEWS; Pg. A6, 423 words",,5/2/2019
"Tesla, GM, Ford In Heated Race For First Electric Pickup In US","International Business Times News, 619 words",,5/6/2019
Tesla hit with wrongful-death suit related to fatal Mountain View crash,"The Mercury News (California), 373 words",,5/1/2019
Tesla Model 3 still most popular electric car in U.S.,"The San Diego Union Tribune, BUSINESS; C; Pg. 3, 323 words",,5/2/2019
Tesla seeks to raise $2.3bn after concerns it is running out of money;Company announced last week it had lost $702m in the first three months of the year and sold 31% fewer vehicles in the first quarter,"The Guardian(London), TECHNOLOGY; Version:2, 370 words",,5/2/2019
Tesla seen finding ample appetite for its newest convertible bond,"Channel NewsAsia, BUSINESS, 681 words",,5/2/2019
Tesla sued after fatal Autopilot-involved crash,"digitalinsurance.com; Vol. 1; No. 1, 661 words",,5/3/2019
Tesla Sued Over Fatal Crash Involving Model X With Autopilot Engaged," Geek.com, 413 words",,5/1/2019
"Tesla Supercharger in Salisbury, New Brunswick Starts Construction","iPhone in Canada, 220 words",,5/5/2019
Tesla warns workers about the consequences of leaking information,"Digital Journal, 445 words",,5/5/2019
"The Tesla Equity Raise: Fool Me Again, Elon!","TheStreet.com, 603 words",,5/2/2019
Updated Tesla Model S Has An EPA Certified 370 Miles Of Range,"Hybrid Cars, 356 words",,5/6/2019
US rejects Tesla bid for tariff exemption for Model 3 'brain',"Channel NewsAsia, BUSINESS, 879 words",,5/3/2019
Zacks Investment Ideas feature highlights: Tesla,"Zacks Investment Research, 1142 words",,5/3/2019
Elon Musk must ask before tweeting about Tesla after social media blunders,"Express Online, 540 words",,5/2/2019
Elon Musk's net worth is $22.3 billion; here are some interesting facts about Tesla co-founder,"Indian Express, 959 words",,5/6/2019
"Family of Tesla Car Crash Victim Walter Huang Files Lawsuit Against Automaker, State of California","PR Newswire, 413 words",,5/1/2019
"Family of Tesla Car Crash Victim Walter Huang Files Lawsuit Against Automaker, State of California","Plus Company Updates(PCU), 376 words",,5/2/2019
"Goldman Sachs, Citi Aid Tesla Capital Raise Despite Analysts Advising 'Sell'","RealMoney, 1163 words",,5/2/2019
Mercedes-Benz Commences Tesla Model Y Rival EQC Production Ahead Of Elon Musk's SUV,"International Business Times News, 420 words",,5/7/2019
Tesla Announces Offerings of Common Stock and Convertible Senior Notes,"Contify Automotive News, 310 words",,5/2/2019
Tesla Model S update - Does the electric car actually now have 400-miles of range?,"Express Online, 384 words",,5/1/2019
Tesla partners with Markel to launch insurance programme,"MarketLine NewsWire (Formerly Datamonitor), FINANCIAL SERVICES, 227 words",,5/3/2019
"Tesla seeks up to $2.3 billion from share, debt issues","Khaleej Times (United Arab Emirates), 475 words",,5/2/2019
Tesla sell-off spills into May after worst month in a year," FT.com, 399 words",,5/1/2019
Tesla sued after yet another Autopilot-related crash,"Skoar!, 382 words",,5/3/2019
Tesla sued after yet another Autopilot-related crash,"Digit Fast Track, 320 words",,5/3/2019
"Tesla Talks Mineral Shortages, Europe Plans New Battery Factory","CleanTechnica, 908 words",,5/3/2019
$12.4 billion! How many Teslas could California buy for the cost of High Speed Rail?,"The East Bay Times (California), 737 words",,5/3/2019
$12.4 billion! How many Teslas could California buy for the cost of High Speed Rail?,"The Mercury News (California), 771 words",,5/3/2019
Family take on Tesla over fatal car crash,"The Star (South Africa), LIFE; Pg. 13, 206 words",,5/4/2019
Family take on Tesla over fatal car crash,"The Star (South Africa), LIFE; Pg. 13, 206 words",,5/4/2019
Green Mountain Power Plans 100% Renewables By 2030 With Help From Tesla,"CleanTechnica, 876 words",,5/2/2019
How Tesla's Infotainment System Measures Up at Consumer Reports,"24/7 Wall St., 328 words",,5/2/2019
Musk doubles down on investment as Tesla raises capital,"National Post's Financial Post & FP Investing (Canada), FINANCIAL POST; Pg. B3, 386 words",,5/4/2019
Musk doubles down on investment as Tesla raises capital,"National Post's Financial Post & FP Investing (Canada), FINANCIAL POST; Pg. D8, 386 words",,5/4/2019
Musk promises lower-priced versions as Tesla losses climb and deliveries dry up,"The Vancouver Province (British Columbia), DRIVING; Pg. D10, 248 words",,5/3/2019
Tesla Announces New Advanced Safety Features for Drivers,"iPhone in Canada, 275 words",,5/3/2019
"Tesla boosts capital raise to US$2.7 billion, Musk buys more stock","Channel NewsAsia, BUSINESS, 568 words",,5/3/2019
"Tesla boosts capital raise to US$2.7 billion, Musk buys more stock","Channel NewsAsia, BUSINESS, 568 words",,5/3/2019
Tesla hit with wrongful-death suit related to fatal Mountain View crash,"The East Bay Times (California), 322 words",,5/1/2019
Tesla Owners Can Now Self-Diagnose and Pre-Order Parts for their Vehicles,"iPhone in Canada, 255 words",,5/7/2019
Tesla says it needs $3 billion to stay in business,"Plus Company Updates(PCU), 266 words",,5/6/2019
Tesla sued over California 'Autopilot' death,"Agence France Presse -- English, 251 words",,5/1/2019
Tesla sued over California 'Autopilot' death,"Bangladesh Government News, 276 words",,5/3/2019
Tesla to charge ahead and cut solar panel prices to 38% below national average,"Energy Monitor Worldwide, 321 words",,5/2/2019
"Battery Electric Vehicles Market Detail Analysis Focusing on Key Players BMW, Volkswagen AG, Nissan Motor Corporation, Tesla","ReleaseWire, 1297 words",,5/2/2019
Battery minerals consolidation tipped as Tesla said to expect global shortage,"SNL Metals & Mining Daily: East Edition; Extra, 679 words",,5/6/2019
Battery minerals consolidation tipped as Tesla said to expect global shortage,"SNL Metals & Mining Daily: West Edition; Extra, 679 words",,5/6/2019
Exclusive: Tesla expects global shortage of electric vehicle battery minerals - sources,"Channel NewsAsia, BUSINESS, 457 words",,5/2/2019
Exclusive: Tesla expects global shortage of electric vehicle battery minerals - sources,"Channel NewsAsia, BUSINESS, 457 words",,5/2/2019
SEC commissioner decries agency's deal with Tesla's Musk,"Channel NewsAsia, BUSINESS, 351 words",,5/1/2019
Tesla expects global shortage of electric vehicle battery minerals,"Trend News Agency - Central Asia (English), WORLD, 447 words",,5/4/2019
Tesla expects global shortage of electric vehicle battery minerals,"Trend News Agency - Central Asia (English), WORLD, 447 words",,5/3/2019
Tesla expects global shortage of electric vehicle battery minerals,"Trend News Agency - Central Asia (English), WORLD, 447 words",,5/4/2019
Tesla expects global shortage of electric vehicle battery minerals - sources," EurActiv.com, 483 words",,5/3/2019
Tesla expects global shortage of EV battery minerals: report,"EJ Insight, TECH,MEDIA & TELECOM; Tech,Media & Telecom, 444 words",,5/3/2019
Tesla losses climb as deliveries dry up,"Owen Sound Sun Times, DRIVING; Pg. D4, 250 words",,5/2/2019
Tesla losses climb as deliveries dry up,"The Calgary Herald (Alberta), DRIVING; Pg. E4, 250 words",,5/3/2019
Tesla losses climb as deliveries dry up,"Belleville Intelligencer, DRIVING; Pg. D5, 250 words",,5/2/2019
Tesla losses climb as deliveries dry up,"The Gazette (Montreal), DRIVING; Pg. B7, 250 words",,5/6/2019
Tesla manager warns of global shortage of battery minerals in near future,"Computing, 401 words",,5/3/2019
"Tesla Model 3 to cost from £38,900 in the UK ... but with a higher spec than first thought","Belfast Telegraph Online, CARS; Version:1, 445 words",,5/3/2019
Tesla set to raise $2bn to bolster balance sheet,"The Irish Times, FINANCE; Pg. 2, 181 words",,5/3/2019
Tesla to Raise USD1.6 Billion in Public Offering of Convertible Notes,"MarketLine Financial Deals Tracker, DEAL IN BRIEF, 243 words",,5/6/2019
CallTower Names Kathleen Waters of Creekview Group the Winner of the Road Warriors Tesla Giveaway;A live drawing was held at CallTower's 4th Annual Cash and Cocktails during Channel Partners Expo 2019.,"PR Newswire, 505 words",,5/3/2019
Chrysler hires Tesla for 2 thousand mde,"CE Noticias Financieras English, 276 words",,5/4/2019
"Excellent Growth of Self-Driving Truck Technology Market- Comprehensive Study by Key Players: Daimler, Volvo, Waymo, Tesla, TuSimple","ReleaseWire, 1677 words",,5/2/2019
Fiat Chrysler to spend €1.8bn on CO2 credits from Tesla," FT.com, 509 words",,5/3/2019
Fiat Chrysler to spend (EURO)1.8bn on CO2 credits from Tesla;Automobiles,"Financial Times (London, England), NEWS; Pg. 13, 331 words",,5/4/2019
Fiat Chrysler to spend (EURO)1.8bn on CO2 credits from Tesla;Automobiles,"Financial Times (London, England), NEWS; Pg. 10, 331 words",,5/4/2019
Fiat Chrysler to spend (EURO)1.8bn on CO2 credits from Tesla;Automobiles,"Financial Times (London, England), NEWS; Pg. 10, 331 words",,5/4/2019
Fiat Chrysler to spend (EURO)1.8bn on CO2 credits from Tesla;Automobiles,"Financial Times (London, England), NEWS; Pg. 10, 331 words",,5/4/2019
Judge approves Tesla CEO Elon Musk's agreement with SEC,"Associated Press Financial Wire, DOMESTIC NEWS, 125 words",,5/1/2019
Judge approves Tesla CEO Elon Musk's agreement with SEC,"The Associated Press, DOMESTIC NEWS, 125 words",,5/1/2019
"Robo-Taxi Market: Comprehensive Study Explores Huge Growth in Future : Tesla, Aptiv, Ridecell, EasyMile","ReleaseWire, 1293 words",,5/3/2019
"Sumitomo Mitsui Asset Management Company, LTD Buys Tesla Inc, Amazon. ...","GuruFocus.com, 8009 words",,5/7/2019
Tesla Files Shelf Offering as It Seeks to Raise More Capital,"TheStreet.com, 137 words",,5/2/2019
Tesla's Musk Owes $507 Million to Affiliates of Banks Underwriting $1.6 Billion Debt Issuance,"MT Newswires Live Briefs PRO, 322 words",,5/3/2019
Today's Pickup: Tesla Plans To Raise $2 Billion In Investment,"Benzinga, 727 words",,5/2/2019
US rejects Tesla bid for tariff exemption for Autopilot 'brain',"News Point, 195 words",,5/4/2019
"13:12 EDT Tesla sued over deadly crash blamed on faulty Autopilot, Bloomberg says","Theflyonthewall.com, 134 words",,5/1/2019
"Automotive Oem Telematics Market 2019-2026: Challenges and Opportunities Analysis by Company General Motors, Tesla, Toyota, Ford, Hyundai, Nissan, Mazda, Honda","ReleaseWire, 1270 words",,5/3/2019
"BEV (Battery Electric Vehicles) Market 2019 Analysis by Key Players BMW Group, Daimler AG, Ford Motor Company, General Motors, Nissan Motor Corporation, Tesla","ReleaseWire, 967 words",,5/2/2019
Family of California man killed in Tesla crash sue automaker,"Associated Press Financial Wire, BUSINESS NEWS, 140 words",,5/1/2019
Family of California man killed in Tesla crash sue automaker,"Associated Press State & Local, STATE AND REGIONAL, 140 words",,5/1/2019
Family of California man killed in Tesla crash sue automaker,"Associated Press International, BUSINESS NEWS, 140 words",,5/1/2019
Family of California man killed in Tesla crash sue automaker,"The Associated Press, DOMESTIC NEWS, 140 words",,5/1/2019
Family of California Man Killed in Tesla Crash Sue Automaker,"Indian Manufacturing News, 138 words",,5/2/2019
Family of man killed in Tesla car accident sues company," French News (English Language), 188 words",,5/2/2019
GM will make an electric pickup - someday (Buy a Tesla while you're waiting),"Red, Green, and Blue, 498 words",,5/2/2019
"Green Vehicle Technology Market SWOT Analysis of Leading Key Players: Tesla Inc., BYD Company Ltd., Volkswagen AG","ReleaseWire, 872 words",,5/6/2019
"Hybrid Cars and EVs Market Overview and Growth Rate Analysis 2026 by Leading Companies: Volkswagen, Tesla, Nissan, BMW, Mitsubishi, Renault, BAIC","ReleaseWire, 1279 words",,5/1/2019
Judge approves the Arrangement with SEC of Tesla CEO Elon Musk,"Watchlist News, 126 words",,5/5/2019
Tesla Model 3 UK reviews: how does it drive on Britain's bumpy roads?,"The Week, 630 words",,5/1/2019
-Tesla to work with Markel on insurance plan,"FinancialWire, 131 words",,5/2/2019
-Tesla to work with Markel on insurance plan,"Global Banking News, 123 words",,5/2/2019
UK TESLA TEASER;Motormouth,"Daily Star, FEATURES; Pg. 34,35, 132 words",,5/3/2019
U.S. rejects Tesla bid for exemption on China-made part,"National Post's Financial Post & FP Investing (Canada), FINANCIAL POST; Pg. FP12, 148 words",,5/4/2019
"06:29 EDT SEC commissioner criticizes settlement with Tesla CEO Musk, Reuters reports","Theflyonthewall.com, 136 words",,5/1/2019
Family of man killed in self-autonomous car crash sues Tesla,"Postmedia Breaking News, NEWS, 94 words",,5/1/2019
"Head Line: US Patent granted to Tesla, Inc. on April 30, 2019 titled as ""Combined systems for utilization of waste heat""","Plus Patent News, 235 words",,5/3/2019
LendingTree Study Finds Tesla Drivers Have Highest Average Credit Scores,"Contify Banking News, 460 words",,5/1/2019
"Leslie Picker Highlights Notable Stock Picks From Sohn: Netflix, Tesla And More","Benzinga, 382 words",,5/7/2019
"Musk Elon Reports acquisitions by the director Tesla, Inc. [ TSLA ] (California)","US Official News, 54 words",,5/7/2019
TeslaCoilCoin (TESLA) Trading Down 39.9% Over Last 7 Days,"Highlight Press, 468 words",,5/1/2019
Tesla e-mail warns employees against leaking trade secrets,"Asian News International (ANI), 103 words",,5/4/2019
Tesla gets creative with its Model 3 pricing to qualify for federal electric vehicle rebates,"Postmedia Breaking News, AUTOS, 95 words",,5/1/2019
Tesla gets creative with Model 3 pricing to qualify for federal electric vehicle rebates,"Postmedia Breaking News, AUTOS, 95 words",,5/1/2019
"Tesla, Inc. (California) applies for US Patent titled as ""CASTING ALUMINUM ALLOYS FOR HIGH-PERFORMANCE APPLICATIONS""","Plus Patent News, 203 words",,5/7/2019
"Tesla, Inc. (California) applies for US Patent titled as ""TOLERANCE COMPENSATOR""","Plus Patent News, 165 words",,5/7/2019
Tesla Increases goal in Funding hunt and Musk doubles down,"Transcript Daily, 137 words",,5/5/2019
Tesla Raises Goal in Capital Hunt and Musk Doubles Down,"Indian Manufacturing News, 126 words",,5/7/2019
Tesla raises goal in Musk and Funding hunt doubles down,"Baseball News Source, 135 words",,5/3/2019
"Tesla's Tariff Exemption Request Denied for Model 3 ""Brain""","MT Newswires Live Briefs, 79 words",,5/5/2019
"Tesla to raise money after painful 1Q, and Musk is buying in","Postmedia Breaking News, PMN BUSINESS, 96 words",,5/2/2019
"Tesla to raise money after painful 1Q, and Musk is buying in","Postmedia Breaking News, PMN BUSINESS, 94 words",,5/2/2019
"US Patent Issued to Tesla Motors on April 30 for ""Energy storage system with dual-active-bridge converter"" (California Inventor)","US Fed News, 232 words",,5/1/2019
"US Patent Issued to Tesla on April 30 for ""Bumper with tow hooks"" (California Inventor)","US Fed News, 115 words",,5/1/2019
"US Patent Issued to Tesla on April 30 for ""Combined systems for utilization of waste heat"" (California Inventor)","US Fed News, 294 words",,5/1/2019
"US Patent Issued to Tesla on April 30 for ""Grille"" (California Inventor)","US Fed News, 113 words",,5/1/2019
